#GENE	BCOM_SCORE	1000G_SCORE	MIN_SCORE	ID
ASH1L	3.24824	6.6008	3.24824	*
TPTE	5.29539	3.22084	3.22084	-
SUPT16H	3.20713	3.25174	3.20713	*
PCDH10	3.18846	7.09488	3.18846	*
PTPRT	3.13098	6.95927	3.13098	*
KIF21A	3.10814	6.79469	3.10814	*
CSGALNACT2	3.06532	4.18868	3.06532	*
CDH18	3.04137	4.50592	3.04137	*
DHX9	3.04007	3.59758	3.04007	*
PGM5	3.03637	3.02959	3.02959	-
SMAD3	3.01766	3.08338	3.01766	*
KLHL4	3.00314	3.81221	3.00314	*
AFF2	2.99318	5.00395	2.99318	*
FRY	2.99171	8.47618	2.99171	*
MARK1	2.9813	3.25664	2.9813	*
ERBB4	2.93697	6.10248	2.93697	*
CNOT1	2.92461	4.79071	2.92461	*
ZFHX4	2.91792	8.6363	2.91792	*
ARFGEF1	2.90988	4.69884	2.90988	*
MAP2K4	2.87946	3.54932	2.87946	*
NIPBL	2.87637	5.17515	2.87637	*
RPL22	2.84898	2.93227	2.84898	*
MYCBP2	2.83739	6.30981	2.83739	*
GABRA5	2.82423	3.69294	2.82423	*
LRFN5	2.84473	2.79936	2.79936	-
SCN3A	2.79144	6.98424	2.79144	*
CEP170	2.79132	3.42195	2.79132	*
TRIM9	2.78954	3.34191	2.78954	*
PDS5B	2.78473	5.10492	2.78473	*
BAGE3	2.77509	3.05841	2.77509	*
KIRREL3	2.7713	2.81647	2.7713	*
UBR5	2.76576	5.17702	2.76576	*
RALGAPB	2.76458	4.83758	2.76458	*
ENC1	2.76456	3.16819	2.76456	*
TRPC3	2.75199	4.03348	2.75199	*
COL11A1	2.75136	4.94975	2.75136	*
SLC8A2	2.74056	3.33478	2.74056	*
SCN1A	2.73993	5.27785	2.73993	*
KCNB1	2.73329	4.93648	2.73329	*
MED12	2.72399	4.80938	2.72399	*
NRAS	2.71862	2.95747	2.71862	*
ARID1A	2.70364	6.099	2.70364	*
SNX13	2.70359	3.90805	2.70359	*
TRPC5	2.69915	2.99374	2.69915	*
PCMTD1	2.69864	3.01556	2.69864	*
BCOR	2.69741	4.2413	2.69741	*
SLITRK1	2.68912	3.60542	2.68912	*
KMT2C	8.29666	2.6881	2.6881	-
CHD8	2.68493	5.01524	2.68493	*
FBXL7	2.68464	3.54112	2.68464	*
CHRM2	2.67461	3.93602	2.67461	*
CACNA1E	2.67189	8.31064	2.67189	*
KCTD1	2.66848	3.44735	2.66848	*
MAP2K7	2.63624	3.01168	2.63624	*
ZNF835	2.62822	3.23721	2.62822	*
TUBA3C	2.62682	3.43486	2.62682	*
CDH8	2.62231	3.96762	2.62231	*
ZNF536	2.60642	4.64279	2.60642	*
NLGN4X	2.60548	4.17767	2.60548	*
SF3B4	2.72017	2.59105	2.59105	-
KCNB2	2.58963	4.10519	2.58963	*
PAX6	2.58941	3.0173	2.58941	*
AGO1	2.58396	3.00814	2.58396	*
ATL1	2.57753	2.7252	2.57753	*
DYNC1H1	2.577	5.03422	2.577	*
KIAA2022	2.57295	4.18387	2.57295	*
TPTE2	2.5701	3.80723	2.5701	*
GLUD2	2.56868	2.98982	2.56868	*
MYH7	2.56335	4.37442	2.56335	*
USP7	2.56301	3.29905	2.56301	*
HCN1	2.55477	3.93884	2.55477	*
RPS6KA6	2.54741	3.08897	2.54741	*
TLE4	3.21788	2.54261	2.54261	-
AP2A2	2.54192	3.55201	2.54192	*
CDH2	2.53819	5.23326	2.53819	*
LARP4B	2.53615	5.0249	2.53615	*
PCDH9	2.53111	6.30858	2.53111	*
GRM5	2.5267	5.59353	2.5267	*
CREBBP	2.52261	4.70001	2.52261	*
ROBO2	2.51549	5.40534	2.51549	*
CLCN4	2.51113	3.1718	2.51113	*
ROCK1	2.5027	4.13883	2.5027	*
FGF13	2.50224	2.71034	2.50224	*
CLIP1	2.50188	4.31542	2.50188	*
ATP1A3	2.50072	2.79645	2.50072	*
DCAF12L2	2.48511	3.36067	2.48511	*
MTA2	2.48451	2.83317	2.48451	*
B2M	2.48242	2.48242	2.48242	*
THOC2	2.47044	4.15494	2.47044	*
AGO2	2.46352	2.61278	2.46352	*
ATRX	2.45607	6.36842	2.45607	*
KCNA1	2.4501	3.30761	2.4501	*
EBPL	2.43712	3.37016	2.43712	*
NFASC	2.4362	6.9252	2.4362	*
MAGEC1	2.43281	3.50001	2.43281	*
ATP1A2	2.42487	3.35761	2.42487	*
XPO4	3.01902	2.42469	2.42469	-
EEF1A2	2.42377	2.61613	2.42377	*
SLTM	2.4207	3.16892	2.4207	*
FYN	2.41822	2.81657	2.41822	*
UNC79	2.41806	5.46041	2.41806	*
GABRB3	2.41785	2.85472	2.41785	*
DCLK1	2.40282	3.75444	2.40282	*
KCNH7	2.40261	3.4511	2.40261	*
GLI3	2.39968	4.45146	2.39968	*
DAPK1	2.39775	3.80627	2.39775	*
PCDH19	2.39588	4.34841	2.39588	*
CTCF	2.38861	2.55143	2.38861	*
KCNQ5	2.36496	3.58308	2.36496	*
RBM10	2.43843	2.36274	2.36274	-
ZNF423	2.36182	4.86146	2.36182	*
KIAA1109	2.36139	6.36803	2.36139	*
PHIP	2.3595	2.86048	2.3595	*
PCBP1	2.35732	2.67913	2.35732	*
RIMS1	2.35521	6.48177	2.35521	*
ATP2B2	2.35233	4.01804	2.35233	*
TOMM70A	2.35102	2.38085	2.35102	*
ZBTB20	2.34235	4.72625	2.34235	*
SOGA3	2.33249	3.57631	2.33249	*
PPFIA2	2.32705	4.42095	2.32705	*
CTR9	2.32686	2.81521	2.32686	*
ADCY8	2.32543	3.47779	2.32543	*
PRKRIR	4.93189	2.32076	2.32076	-
GRIK3	2.31222	3.59066	2.31222	*
GRIA4	2.30126	4.29734	2.30126	*
TOP2B	2.29509	2.86616	2.29509	*
JAK1	2.27936	2.78274	2.27936	*
FAT4	2.27136	12.7207	2.27136	*
STAT1	2.26633	2.3164	2.26633	*
EPHB1	2.26058	3.6576	2.26058	*
KCND3	2.25659	2.71428	2.25659	*
UBR3	2.2551	4.83508	2.2551	*
SNTG1	2.24743	3.60005	2.24743	*
PTBP2	2.24428	2.65095	2.24428	*
ZFR	2.23782	3.16794	2.23782	*
PBRM1	2.23744	3.08405	2.23744	*
STAG2	2.23492	2.41399	2.23492	*
GABRG2	2.22977	2.71648	2.22977	*
PXDN	2.22583	4.77247	2.22583	*
OGDH	2.21358	3.35498	2.21358	*
MSN	2.20993	2.26634	2.20993	*
KIF5C	2.20518	2.62491	2.20518	*
DGKB	2.18626	3.06018	2.18626	*
SLC32A1	2.18584	2.50312	2.18584	*
HDX	2.1858	3.08983	2.1858	*
CSNK1G3	2.18558	2.49116	2.18558	*
SLITRK2	2.18312	3.20059	2.18312	*
HTR2C	2.17723	2.77195	2.17723	*
ELMO1	2.16891	3.60173	2.16891	*
RBM39	2.16634	2.53535	2.16634	*
ZNF148	2.15976	2.52452	2.15976	*
KSR2	2.15572	3.1503	2.15572	*
FLRT2	2.15351	2.65453	2.15351	*
TNKS2	2.14778	3.38268	2.14778	*
RPS6KA2	2.1457	2.80802	2.1457	*
TAF1	2.14453	3.25486	2.14453	*
TLK2	2.13893	2.22593	2.13893	*
INHBA	2.13778	2.27563	2.13778	*
ZNF493	2.30056	2.13444	2.13444	-
PRKCG	2.13099	2.72761	2.13099	*
CYP7B1	2.11586	2.85384	2.11586	*
PTPRK	2.11433	4.58697	2.11433	*
GRIN2A	2.10675	3.9864	2.10675	*
USP26	2.10444	3.47699	2.10444	*
AR	3.06456	2.10239	2.10239	-
CADPS	2.10215	2.94725	2.10215	*
JADE1	2.09421	2.32178	2.09421	*
SMARCB1	2.09338	2.15505	2.09338	*
IL1RAPL2	2.09168	2.2136	2.09168	*
FLNA	2.08224	4.98981	2.08224	*
JAKMIP1	2.0793	3.05871	2.0793	*
KDM7A	2.07756	3.73834	2.07756	*
DSTN	2.07424	2.16147	2.07424	*
TMEM132D	2.07407	6.33221	2.07407	*
RIMBP2	2.07211	4.46149	2.07211	*
ZMYM3	2.07069	3.25576	2.07069	*
WASL	2.07043	2.49836	2.07043	*
EIF5B	2.06746	2.62056	2.06746	*
PTEN	2.06095	3.49701	2.06095	*
CADM1	2.06033	3.01999	2.06033	*
USP48	2.056	2.81714	2.056	*
PLPPR5	2.0534	2.13042	2.0534	*
SEC61A1	2.04475	2.24186	2.04475	*
SOX5	2.04173	2.82012	2.04173	*
ZMYM2	2.0416	3.45426	2.0416	*
ERC2	2.03887	4.45146	2.03887	*
ATP2B3	2.0361	3.77319	2.0361	*
CTNNA1	2.03455	3.19853	2.03455	*
IGF2BP1	2.07009	2.03205	2.03205	-
CCNA1	2.02764	2.35777	2.02764	*
CHD3	2.02746	3.34968	2.02746	*
GTF2I	3.71134	2.0268	2.0268	-
CACNA1A	2.02641	5.45599	2.02641	*
BRSK1	2.0254	2.99955	2.0254	*
CUL5	2.02395	2.76615	2.02395	*
DLG2	2.02157	4.73202	2.02157	*
ROBO1	2.02053	6.4516	2.02053	*
TRRAP	2.02029	6.53327	2.02029	*
TMEM132B	2.01951	4.87478	2.01951	*
SPTBN1	2.01931	3.10417	2.01931	*
CEP85L	2.01869	4.02437	2.01869	*
BCLAF1	2.53465	2.01842	2.01842	-
XKR4	2.01441	2.55379	2.01441	*
TUBA4A	2.0122	2.18914	2.0122	*
TRHDE	2.0107	3.84799	2.0107	*
MEF2C	2.01046	2.30777	2.01046	*
DHX30	2.00856	2.94675	2.00856	*
ATP2A2	1.99975	2.74495	1.99975	*
CSMD3	1.99964	10.4134	1.99964	*
UBE3A	1.99892	2.72624	1.99892	*
TBC1D25	1.99658	2.49909	1.99658	*
NEMP2	1.99159	2.33017	1.99159	*
KCTD3	1.99033	2.46536	1.99033	*
ATP1A1	1.98927	2.45408	1.98927	*
CASD1	1.9879	2.19088	1.9879	*
KCNG1	1.9866	2.44828	1.9866	*
MYBL1	1.98304	2.54784	1.98304	*
ZEB2	1.98264	3.29495	1.98264	*
NYAP2	1.97885	2.60063	1.97885	*
SOHLH2	1.97868	2.73982	1.97868	*
CUL4B	1.97754	2.46645	1.97754	*
DCAF12L1	1.97723	2.81039	1.97723	*
KDM5C	1.97699	2.28737	1.97699	*
KCND2	1.97604	3.04289	1.97604	*
KCNJ8	1.96984	2.29491	1.96984	*
SLC12A5	1.96583	4.32022	1.96583	*
PROX1	1.96409	2.82938	1.96409	*
ZNF483	2.19698	1.96305	1.96305	-
CUL1	1.95953	2.28276	1.95953	*
EPHA4	1.9593	2.76079	1.9593	*
EPHA5	1.95617	5.03327	1.95617	*
CACNA2D3	1.95594	2.97829	1.95594	*
SLCO3A1	1.95369	3.05383	1.95369	*
DMD	1.95001	8.18605	1.95001	*
DRD5	2.06925	1.9497	1.9497	-
ZYG11B	2.14413	1.94838	1.94838	-
GALNT9	1.94724	2.15143	1.94724	*
OSBPL3	1.94464	2.76114	1.94464	*
SAFB2	1.94207	2.39906	1.94207	*
SLC6A2	1.94206	3.85026	1.94206	*
ATM	1.94115	6.46582	1.94115	*
NOVA1	1.9395	2.65044	1.9395	*
AGO4	1.93917	2.39335	1.93917	*
GNAO1	1.93478	2.34071	1.93478	*
SLC6A15	1.93336	2.76275	1.93336	*
GUCY1A3	1.92482	4.1701	1.92482	*
SMARCA4	1.92423	3.94073	1.92423	*
MYO5A	1.92319	4.01837	1.92319	*
NAV3	1.92283	5.13542	1.92283	*
DROSHA	1.9227	4.46357	1.9227	*
SAMHD1	1.92077	3.29164	1.92077	*
ZNF521	1.91629	3.52202	1.91629	*
ADGRL3	1.91502	4.11537	1.91502	*
ZNF28	1.91088	1.94435	1.91088	*
CNTN1	1.90982	4.18835	1.90982	*
ATXN2L	1.90908	3.99192	1.90908	*
RBM25	1.90907	2.33619	1.90907	*
NOS1	1.90895	4.48121	1.90895	*
LRRK2	1.9039	4.93407	1.9039	*
MED1	1.90087	2.58053	1.90087	*
USP28	1.90017	3.10016	1.90017	*
KCNJ3	1.89921	2.28862	1.89921	*
SBNO1	1.89871	3.59518	1.89871	*
SMARCA1	1.89637	2.8396	1.89637	*
PUS7	1.89404	2.8292	1.89404	*
CNR1	1.894	2.15843	1.894	*
MMP16	1.89381	2.73957	1.89381	*
DDX46	1.89026	1.99555	1.89026	*
NRG1	1.88805	4.6604	1.88805	*
DDX17	1.88746	2.9396	1.88746	*
FIGN	1.88698	3.21696	1.88698	*
PCDH11Y	2.18567	1.88652	1.88652	-
ANO4	1.88582	3.32531	1.88582	*
GRM7	1.88555	4.05391	1.88555	*
SLC25A12	1.88055	2.26524	1.88055	*
SHROOM4	1.87282	2.02666	1.87282	*
MATK	1.89493	1.86496	1.86496	-
FMN2	1.86188	4.69694	1.86188	*
CSE1L	1.86119	1.90642	1.86119	*
PAPOLG	1.85912	3.25034	1.85912	*
CHD1	1.85852	2.89197	1.85852	*
GNB4	1.85833	2.1554	1.85833	*
DHX15	1.85709	2.74462	1.85709	*
SPATA31C2	1.85629	2.58337	1.85629	*
EXT1	1.85435	3.11433	1.85435	*
CTSC	1.85332	2.32448	1.85332	*
CHD2	1.85325	2.87488	1.85325	*
ACTA1	1.85066	2.09907	1.85066	*
NCAM1	1.85054	3.56682	1.85054	*
DENND4B	1.84929	4.04013	1.84929	*
HDAC9	1.84826	4.3521	1.84826	*
TNPO1	1.84678	2.51669	1.84678	*
CDH6	1.84528	2.58374	1.84528	*
GRIA1	1.84452	3.92766	1.84452	*
DDX23	1.84436	2.20391	1.84436	*
LRRC7	1.84373	3.79445	1.84373	*
MAGEC3	1.84367	3.27903	1.84367	*
TUBGCP3	1.83953	1.87525	1.83953	*
DIP2C	1.83468	3.0032	1.83468	*
INTS6	1.83419	2.69772	1.83419	*
FILIP1	1.83366	2.7597	1.83366	*
ATP9A	1.83067	2.1613	1.83067	*
ATP11C	1.82979	2.19906	1.82979	*
EIF3A	1.82941	3.86587	1.82941	*
PPARGC1A	1.82714	2.47616	1.82714	*
CCDC30	1.82621	2.34461	1.82621	*
PRDM9	1.82524	2.93251	1.82524	*
F8	1.82301	4.8686	1.82301	*
FOXG1	1.82086	2.22955	1.82086	*
RBBP7	1.82063	2.30133	1.82063	*
SCAF4	1.8196	4.12651	1.8196	*
ITPR1	1.81851	3.93002	1.81851	*
MAP2K1	1.81807	2.00865	1.81807	*
EFEMP1	1.81475	3.01228	1.81475	*
UPF2	1.80907	2.9975	1.80907	*
PDS5A	1.80854	2.16329	1.80854	*
NRXN3	1.80765	3.29932	1.80765	*
PRKCB	1.80745	2.93577	1.80745	*
EGR3	1.80625	2.24207	1.80625	*
THOC1	1.80519	2.69753	1.80519	*
ARHGAP28	1.80416	2.93918	1.80416	*
ASPN	1.84297	1.80368	1.80368	-
CASP8	1.80031	2.71645	1.80031	*
NOL4	1.79804	2.64526	1.79804	*
POLR2B	1.7974	2.91074	1.7974	*
WDR47	1.79671	1.79704	1.79671	*
ZNF354A	1.79413	2.13963	1.79413	*
CNTN6	1.79383	4.79052	1.79383	*
PHF21A	1.79375	3.16854	1.79375	*
CLTC	1.79374	2.73345	1.79374	*
MYT1L	1.79286	3.5266	1.79286	*
GTF3C3	1.7926	2.49983	1.7926	*
PIK3R1	1.79245	2.81349	1.79245	*
TBR1	1.79177	2.08012	1.79177	*
VAV1	1.79173	2.01687	1.79173	*
BCL11A	1.79042	2.78194	1.79042	*
ATAD5	1.79022	3.18597	1.79022	*
USP17L11	2.28945	1.78986	1.78986	-
KDM5B	1.78544	2.20428	1.78544	*
HRH2	1.78424	2.18569	1.78424	*
ANAPC1	7.48993	1.78381	1.78381	-
RBM46	1.78302	2.21525	1.78302	*
NTRK3	1.78123	2.61937	1.78123	*
UPF1	1.78065	2.7131	1.78065	*
MAGED1	1.77919	2.1382	1.77919	*
ASAP1	1.77767	3.20989	1.77767	*
KIF4A	1.77727	2.51243	1.77727	*
PCDHA3	1.77722	3.25381	1.77722	*
SLC44A5	1.77555	2.25655	1.77555	*
RORB	1.75836	1.82033	1.75836	*
CCDC73	1.75626	3.95959	1.75626	*
NF1	1.7556	4.35364	1.7556	*
SYCP1	1.75523	3.31764	1.75523	*
CELF2	1.7537	2.31963	1.7537	*
PLCL2	1.75304	2.80395	1.75304	*
RNASEH2B	1.75283	2.58971	1.75283	*
SEMA3C	1.75209	3.09642	1.75209	*
LDOC1	1.75171	1.79164	1.75171	*
JAKMIP2	1.7509	3.49609	1.7509	*
MORC1	1.7507	2.40966	1.7507	*
ZBTB41	1.75043	2.30201	1.75043	*
AGO3	1.74551	2.28858	1.74551	*
NUP54	1.74055	1.96692	1.74055	*
SEC63	1.7402	2.65748	1.7402	*
CSDE1	1.73976	2.52569	1.73976	*
ATP8A2	1.73834	3.37087	1.73834	*
CDC42BPA	1.73744	2.78463	1.73744	*
CHST15	1.73586	3.09602	1.73586	*
GATA3	1.73527	2.6193	1.73527	*
TCF4	1.74074	1.73506	1.73506	-
KDM2A	1.73317	2.01397	1.73317	*
CDK12	1.73157	4.2864	1.73157	*
NCOR1	1.73154	4.14801	1.73154	*
OSBPL6	1.72378	2.11875	1.72378	*
TNR	1.72367	3.99227	1.72367	*
ATAD2	1.72007	3.81483	1.72007	*
KLHL13	1.71884	2.85112	1.71884	*
CACNA1D	1.71634	4.62434	1.71634	*
MAP3K4	1.71587	3.90504	1.71587	*
OPCML	1.71569	2.15393	1.71569	*
PCDH7	1.71567	3.82512	1.71567	*
GRIN2B	1.7147	2.51279	1.7147	*
KCNV1	1.71148	1.82019	1.71148	*
NRG3	1.71108	2.73925	1.71108	*
MEIS1	1.71001	2.09358	1.71001	*
SOX11	1.70906	1.77387	1.70906	*
CUX2	1.70646	4.49219	1.70646	*
FBXO21	1.70511	2.21925	1.70511	*
UBQLN2	1.84546	1.70483	1.70483	-
GUCY1B3	1.70364	1.83524	1.70364	*
RUNX1T1	1.69939	2.90834	1.69939	*
G3BP1	1.69881	2.48002	1.69881	*
NDST3	1.69829	3.08615	1.69829	*
HIPK2	1.69776	2.77164	1.69776	*
VPS50	1.69752	1.76677	1.69752	*
ZMYND8	1.69589	3.97549	1.69589	*
SERPINE3	1.69182	1.93934	1.69182	*
ZNF385D	1.69012	2.92927	1.69012	*
KCNJ4	1.75005	1.68971	1.68971	-
PCDHB2	1.68929	3.41488	1.68929	*
SLIT1	1.68611	3.87894	1.68611	*
CFAP69	1.68573	2.60819	1.68573	*
MPRIP	1.68492	3.30668	1.68492	*
ERLIN2	1.68243	2.18293	1.68243	*
TGFBR1	1.68236	1.94428	1.68236	*
ZNF208	2.76552	1.68012	1.68012	-
KALRN	1.67997	4.14831	1.67997	*
RABGAP1	1.67931	3.32885	1.67931	*
SCML2	1.67911	1.75484	1.67911	*
WWP1	1.67739	3.32973	1.67739	*
HGF	1.6768	2.94319	1.6768	*
TAT	1.67395	1.73408	1.67395	*
TLE1	1.67392	2.04692	1.67392	*
XRN1	1.67249	2.60406	1.67249	*
GRIA3	2.09555	1.67225	1.67225	-
HSPA2	1.67213	2.30867	1.67213	*
MAP3K12	1.6715	3.28172	1.6715	*
AP2B1	1.67095	1.99321	1.67095	*
BNC2	1.67059	5.41314	1.67059	*
TM9SF2	1.66796	2.55989	1.66796	*
SMARCA2	1.66478	3.09416	1.66478	*
IGSF1	1.66446	3.18845	1.66446	*
IBTK	1.66333	2.25189	1.66333	*
GABRB2	1.66289	1.85221	1.66289	*
KLHL5	1.66224	3.05058	1.66224	*
LRRTM4	1.66194	2.52115	1.66194	*
KDM3B	1.66049	4.3648	1.66049	*
SCN8A	1.659	4.04612	1.659	*
CPSF6	1.659	1.99366	1.659	*
PRKCD	1.6576	1.7462	1.6576	*
ALG10	1.65616	2.21899	1.65616	*
GRM3	1.65357	2.83873	1.65357	*
CSNK2A2	1.65227	2.01524	1.65227	*
KHSRP	1.69504	1.65151	1.65151	-
PTPRM	1.65138	2.91163	1.65138	*
LRFN2	1.65095	3.09419	1.65095	*
FXR1	1.64904	2.10002	1.64904	*
SLC8A1	1.64896	3.79266	1.64896	*
SPANXN2	1.64789	2.03068	1.64789	*
SALL4	1.64725	4.9174	1.64725	*
FBXO10	1.6458	3.25939	1.6458	*
TFCP2	1.64532	1.74608	1.64532	*
ZNF326	1.64446	2.19178	1.64446	*
MECOM	1.64165	3.31123	1.64165	*
QRICH1	1.63831	1.74596	1.63831	*
HLA-A	1.63819	2.91838	1.63819	*
ZIC4	1.63815	2.18182	1.63815	*
CAMK1D	1.63552	1.76383	1.63552	*
BANP	1.63165	1.78171	1.63165	*
ESR1	1.63128	2.07274	1.63128	*
ADAM10	1.6305	1.99346	1.6305	*
NDC80	1.88615	1.62772	1.62772	-
KLHL34	1.62686	3.25937	1.62686	*
NOP58	1.6267	2.12452	1.6267	*
IL1RAPL1	1.6251	2.16796	1.6251	*
UNC80	1.62403	7.90061	1.62403	*
CPEB4	1.623	1.85663	1.623	*
PLPPR4	1.62098	3.04858	1.62098	*
POLA1	1.61982	1.87372	1.61982	*
ARHGEF9	1.61713	2.02133	1.61713	*
PRDM10	1.6169	4.10467	1.6169	*
EIF3E	1.61663	2.04957	1.61663	*
JAG1	1.61512	2.95159	1.61512	*
GRIN1	1.74711	1.61503	1.61503	-
DCX	1.61415	2.27659	1.61415	*
CYFIP2	1.61322	2.15698	1.61322	*
MBD5	1.61266	2.33182	1.61266	*
ATXN7L1	1.6081	3.35532	1.6081	*
YTHDC1	1.60787	2.11883	1.60787	*
HECTD4	1.60763	6.2614	1.60763	*
ZMYND11	1.60751	2.09575	1.60751	*
MCHR2	1.60672	1.88338	1.60672	*
PCDH18	1.60637	5.00527	1.60637	*
NUAK1	1.60635	2.64097	1.60635	*
FAF1	2.0541	1.60594	1.60594	-
YTHDF2	1.60552	1.89122	1.60552	*
MST1	3.87095	1.60519	1.60519	-
ZMYM4	1.60515	3.41779	1.60515	*
CEP290	1.60511	5.24087	1.60511	*
KCNG2	1.60509	2.71319	1.60509	*
SPTAN1	1.60413	3.18718	1.60413	*
TFAP2D	1.60307	2.9582	1.60307	*
QKI	1.60298	1.88494	1.60298	*
PAK7	1.60285	2.09634	1.60285	*
SCAPER	1.60242	3.10011	1.60242	*
MYT1	1.60166	3.65293	1.60166	*
KIF1A	1.60098	3.9134	1.60098	*
U2AF2	1.60046	1.74516	1.60046	*
POU4F2	1.59916	2.1887	1.59916	*
PREX2	1.59868	4.46316	1.59868	*
NONO	1.74848	1.59868	1.59868	-
CAPN6	1.59809	2.98013	1.59809	*
ARNTL2	1.59693	2.03653	1.59693	*
LMTK3	1.59663	3.47049	1.59663	*
KIF3A	1.59635	1.92205	1.59635	*
HLA-C	1.5957	2.1493	1.5957	*
KIF5B	1.59529	3.30347	1.59529	*
ANK2	1.59354	6.49755	1.59354	*
AP1M1	1.66104	1.59315	1.59315	-
OR2J3	1.59266	1.93579	1.59266	*
VPRBP	1.59248	1.66539	1.59248	*
ARSJ	1.59192	2.19096	1.59192	*
WDR3	1.59037	2.92484	1.59037	*
PCDHA2	1.59034	4.76456	1.59034	*
LYN	1.58883	1.87586	1.58883	*
PCLO	1.58711	12.2931	1.58711	*
SHOX	1.58657	2.10676	1.58657	*
COL12A1	1.58643	6.43202	1.58643	*
U2SURP	1.58588	3.01441	1.58588	*
LINGO2	1.5854	2.55564	1.5854	*
MARK2	1.58405	2.01298	1.58405	*
ZFP36L2	1.58341	3.27557	1.58341	*
FRMD4A	1.579	3.42978	1.579	*
GALNT13	1.57688	2.42352	1.57688	*
ARHGAP35	1.57267	4.0797	1.57267	*
ELAVL1	1.57265	1.62467	1.57265	*
GABRA1	1.57191	2.19485	1.57191	*
PLEKHM1	1.57075	1.97189	1.57075	*
CFH	1.56987	2.41427	1.56987	*
TRIM33	1.56913	2.14486	1.56913	*
EBF3	1.56903	2.36267	1.56903	*
SSBP3	1.56842	2.27131	1.56842	*
NCOA2	1.56627	2.97923	1.56627	*
OPHN1	1.56524	1.95915	1.56524	*
SFMBT2	1.56404	3.97567	1.56404	*
GPR158	1.56374	3.71795	1.56374	*
ITGA4	1.77941	1.5634	1.5634	-
EPHA6	1.56277	3.12422	1.56277	*
HNRNPL	1.55901	1.83478	1.55901	*
ADCY2	1.55871	4.20583	1.55871	*
GNAQ	1.55736	1.77925	1.55736	*
PAX3	1.55668	3.78971	1.55668	*
RXRG	1.55638	1.92069	1.55638	*
GFRA1	1.55611	2.06062	1.55611	*
RP1	1.55599	4.54589	1.55599	*
TGIF2LX	1.55569	2.05206	1.55569	*
IGF2BP3	4.65818	1.55381	1.55381	-
RFX5	1.55211	2.25712	1.55211	*
OLFM1	1.5516	2.29495	1.5516	*
SCN9A	1.5504	4.53675	1.5504	*
CLMP	1.54986	1.65035	1.54986	*
CASR	1.5491	3.81275	1.5491	*
ANKS1B	1.54883	3.51369	1.54883	*
FBXO11	1.54761	1.67907	1.54761	*
