#GENE	BCOM_SCORE	1000G_SCORE	MIN_SCORE	ID
SPATA7	0.448905	0.421306	0.421306	-
POLR3E	0.45505	0.421306	0.421306	-
OR6C1	0.588208	0.421306	0.421306	-
NEXN	0.440782	0.421306	0.421306	-
MEOX2	0.547776	0.421306	0.421306	-
MBOAT4	0.638461	0.421306	0.421306	-
IL12B	0.541773	0.421306	0.421306	-
GLRB	0.564155	0.421306	0.421306	-
GDF2	0.480969	0.421306	0.421306	-
FOXD4	0.446915	0.421306	0.421306	-
FCHSD2	0.565006	0.421306	0.421306	-
ERG	0.49656	0.421306	0.421306	-
DUS4L	0.708597	0.421306	0.421306	-
BRF2	0.500842	0.421306	0.421306	-
KIF2B	0.420869	0.635943	0.420869	*
SREK1	0.418587	0.481321	0.418587	*
FBXO43	0.418547	0.481321	0.418547	*
TAAR6	0.418413	0.481321	0.418413	*
CYFIP1	0.422163	0.416917	0.416917	-
OTUD5	0.416606	0.481321	0.416606	*
USP25	0.426208	0.41477	0.41477	-
SGIP1	0.655122	0.41477	0.41477	-
CCK	0.414547	0.450757	0.414547	*
AMIGO3	0.414507	0.481321	0.414507	*
COL24A1	0.452077	0.414385	0.414385	-
PITRM1	0.413298	0.414385	0.413298	*
CRB1	0.412835	0.499806	0.412835	*
CYP17A1	0.409831	0.481321	0.409831	*
THBD	0.409825	0.526108	0.409825	*
COL6A6	0.409613	0.551385	0.409613	*
KSR2	0.409299	0.632545	0.409299	*
PCDHB1	0.408805	0.604263	0.408805	*
HHIPL2	0.408592	0.906009	0.408592	*
SENP5	0.408304	0.481321	0.408304	*
KIAA1211L	0.407964	0.476258	0.407964	*
VNN1	0.40748	0.481321	0.40748	*
TTC21B	0.406183	0.441123	0.406183	*
ZFHX3	0.696661	0.406141	0.406141	-
ZNF440	0.40461	0.602005	0.40461	*
TTC28	0.404192	0.564474	0.404192	*
SFMBT2	0.564066	0.401334	0.401334	-
KIAA1217	0.41891	0.401334	0.401334	-
ADAMTSL4	0.487584	0.401334	0.401334	-
KCNQ2	0.401137	0.499806	0.401137	*
PTCHD3	0.400275	0.421306	0.400275	*
OGDH	0.399395	0.46911	0.399395	*
OVCH2	0.399242	0.602005	0.399242	*
PDHA2	0.39877	0.41477	0.39877	*
EPC2	0.396382	0.421306	0.396382	*
OPRK1	0.396328	0.421306	0.396328	*
ARL14EP	0.395492	0.450757	0.395492	*
CACNG6	0.394405	0.450757	0.394405	*
WDR17	0.580252	0.39414	0.39414	-
PIK3C2G	0.587176	0.39414	0.39414	-
EPHA7	0.508009	0.39414	0.39414	-
CRNKL1	0.496389	0.39414	0.39414	-
CACNA1F	0.415281	0.39414	0.39414	-
C1QL2	1.023	0.39414	0.39414	-
CCDC171	0.393592	0.44752	0.393592	*
WDR87	0.552391	0.392479	0.392479	-
OTOG	0.47616	0.392479	0.392479	-
SYNJ1	0.391494	0.867787	0.391494	*
ANO7	0.390036	0.499806	0.390036	*
PCDHA1	0.719228	0.389982	0.389982	-
RET	0.388474	0.71967	0.388474	*
AVPR1A	0.388377	0.753753	0.388377	*
COL4A1	0.388021	0.652191	0.388021	*
IGF1	0.387813	0.421306	0.387813	*
C5orf51	0.387782	0.450757	0.387782	*
PCDHGB3	0.387479	0.8208	0.387479	*
LOR	0.387324	0.602005	0.387324	*
MSGN1	0.387226	0.602005	0.387226	*
ROBO1	0.384913	1.03322	0.384913	*
EVPL	0.384872	0.486032	0.384872	*
KRTAP25-1	0.384797	0.450757	0.384797	*
TECTA	0.384629	1.17385	0.384629	*
CCDC62	0.384234	0.526108	0.384234	*
ZNF841	0.39398	0.384057	0.384057	-
ZNF333	0.561275	0.384057	0.384057	-
TUB	0.470696	0.384057	0.384057	-
SLC45A2	0.564959	0.384057	0.384057	-
SLC10A4	0.801147	0.384057	0.384057	-
NLRP10	0.401356	0.384057	0.384057	-
KRT20	0.583223	0.384057	0.384057	-
FOXG1	0.692121	0.384057	0.384057	-
FAM71B	0.48927	0.384057	0.384057	-
ENO1	0.5627	0.384057	0.384057	-
CPT1A	0.491429	0.384057	0.384057	-
CD5	0.721222	0.384057	0.384057	-
BEND7	0.418863	0.384057	0.384057	-
BEND2	0.475349	0.384057	0.384057	-
ZNF507	0.383483	0.441123	0.383483	*
MSC	0.382762	0.731113	0.382762	*
DAB2IP	0.382153	0.450444	0.382153	*
EWSR1	0.382065	0.476258	0.382065	*
SALL1	0.381585	1.14396	0.381585	*
CROCC	0.380453	0.499035	0.380453	*
DAAM2	0.38031	0.676046	0.38031	*
RPS6KA6	0.380182	0.450757	0.380182	*
MMRN1	0.806961	0.380005	0.380005	-
DOPEY2	0.416424	0.379517	0.379517	-
ADAMTS16	0.378484	0.548704	0.378484	*
CFTR	0.378405	0.526108	0.378405	*
BCO1	0.377548	0.604263	0.377548	*
WDR24	0.499966	0.377473	0.377473	-
UCKL1	0.583529	0.377473	0.377473	-
NRROS	0.775564	0.377473	0.377473	-
KSR1	0.814064	0.377473	0.377473	-
KCNS2	0.675554	0.377473	0.377473	-
DLG2	0.460149	0.377473	0.377473	-
EPHA5	0.37739	0.676046	0.37739	*
TBX5	0.376629	0.635943	0.376629	*
MGAT1	0.375853	0.476258	0.375853	*
SCN1A	0.3753	0.429575	0.3753	*
DLX5	0.372305	0.753753	0.372305	*
IL13RA2	0.372255	0.450757	0.372255	*
IRG1	0.371656	0.481321	0.371656	*
EVI5L	0.37162	0.384057	0.37162	*
CCDC39	0.371361	0.384057	0.371361	*
P2RY13	0.370817	0.602005	0.370817	*
TLR8	0.370335	0.753753	0.370335	*
DAXX	0.369344	0.441123	0.369344	*
AJAP1	0.367265	0.526108	0.367265	*
EIF5B	0.366164	0.753753	0.366164	*
MMP20	0.365962	0.753753	0.365962	*
ACTA1	0.365636	0.481321	0.365636	*
CRHR2	0.363777	0.481321	0.363777	*
PCDHGA10	0.907998	0.363679	0.363679	-
NCOA6	0.467936	0.363679	0.363679	-
JAG1	0.509699	0.363679	0.363679	-
PDZD2	0.412949	0.363578	0.363578	-
ZNF688	0.402417	0.363325	0.363325	-
XK	0.372738	0.363325	0.363325	-
TBC1D25	0.369778	0.363325	0.363325	-
TAZ	0.433084	0.363325	0.363325	-
TAF7L	0.42302	0.363325	0.363325	-
STK17B	0.379763	0.363325	0.363325	-
RIMKLB	0.470858	0.363325	0.363325	-
RIMKLA	0.368239	0.363325	0.363325	-
PTPN11	0.369486	0.363325	0.363325	-
PCMTD2	0.385093	0.363325	0.363325	-
PAEP	0.413693	0.363325	0.363325	-
OR7G2	0.421635	0.363325	0.363325	-
OR2T2	0.393151	0.363325	0.363325	-
OR2G3	0.507725	0.363325	0.363325	-
OR10J3	0.453833	0.363325	0.363325	-
NR2F1	0.486342	0.363325	0.363325	-
NKAIN4	0.430633	0.363325	0.363325	-
NDRG3	0.420396	0.363325	0.363325	-
MB21D2	0.398734	0.363325	0.363325	-
MAGEE2	0.383094	0.363325	0.363325	-
LHB	0.368383	0.363325	0.363325	-
KRAS	0.550043	0.363325	0.363325	-
KDM5D	0.4085	0.363325	0.363325	-
GZMA	0.411292	0.363325	0.363325	-
GSX2	0.541223	0.363325	0.363325	-
GPR62	0.487356	0.363325	0.363325	-
FGF12	0.376076	0.363325	0.363325	-
CSNK1A1L	0.364861	0.363325	0.363325	-
C1GALT1	0.447511	0.363325	0.363325	-
BRINP3	0.363504	0.363325	0.363325	-
B3GALNT1	0.507216	0.363325	0.363325	-
AQP12A	0.430126	0.363325	0.363325	-
AMN1	0.467321	0.363325	0.363325	-
ACE2	0.393874	0.363325	0.363325	-
APEH	0.361444	0.421306	0.361444	*
GKN1	0.361409	0.363325	0.361409	*
C7orf57	0.361235	0.450757	0.361235	*
ZCCHC12	0.361165	0.602005	0.361165	*
KIAA0319	0.360595	0.384057	0.360595	*
N6AMT2	0.360583	0.450757	0.360583	*
SLC18A3	0.359966	0.906009	0.359966	*
PLAG1	0.359817	0.602005	0.359817	*
SPIN4	0.359551	0.450757	0.359551	*
PON1	0.359365	0.363325	0.359365	*
OPCML	0.358688	0.481321	0.358688	*
UIMC1	0.75029	0.358241	0.358241	-
STK25	0.37877	0.358241	0.358241	-
SMAD9	0.424867	0.358241	0.358241	-
PDILT	0.392893	0.358241	0.358241	-
PCDH19	0.397047	0.358241	0.358241	-
KRT73	0.391443	0.358241	0.358241	-
GOT1	0.779493	0.358241	0.358241	-
DEFB136	1.02912	0.358241	0.358241	-
COL3A1	0.495623	0.358241	0.358241	-
COG6	0.443645	0.358241	0.358241	-
CNTN5	0.39474	0.358241	0.358241	-
ALS2CR12	0.486138	0.358241	0.358241	-
TMEM52B	0.35814	0.450757	0.35814	*
NLRP6	0.357992	0.476258	0.357992	*
RTL1	0.357866	0.8208	0.357866	*
HNRNPCL2	0.357741	0.481321	0.357741	*
BTRC	0.357691	0.363325	0.357691	*
OR5M8	0.357033	0.363325	0.357033	*
MARK1	0.356566	0.450757	0.356566	*
PCDHA10	0.35654	0.750037	0.35654	*
SENP7	0.355992	0.384057	0.355992	*
SLC6A19	0.355025	1.00556	0.355025	*
PTPN13	0.35482	0.531759	0.35482	*
TBXA2R	0.354221	0.421306	0.354221	*
GNB1	0.35366	0.481321	0.35366	*
PDCL2	0.353599	0.363325	0.353599	*
TFR2	0.352693	0.384057	0.352693	*
RALGAPA2	0.390938	0.352041	0.352041	-
PCDHGB1	0.433097	0.352041	0.352041	-
PCDHB7	0.75899	0.352041	0.352041	-
CNTNAP4	0.52701	0.352041	0.352041	-
GLI3	0.351808	1.00433	0.351808	*
FEZF2	0.351275	0.363325	0.351275	*
KLHL38	0.350879	0.384057	0.350879	*
FGG	0.350054	0.481321	0.350054	*
CHRM2	0.349671	0.526108	0.349671	*
TM4SF5	0.349598	0.363325	0.349598	*
TFAP2B	0.349451	0.363325	0.349451	*
USP44	0.349383	0.602005	0.349383	*
FANCB	0.348228	0.481321	0.348228	*
FDXACB1	0.347505	0.421306	0.347505	*
MYOD1	0.346735	0.481321	0.346735	*
OR51M1	0.34641	0.384057	0.34641	*
SLC36A3	0.346359	0.602005	0.346359	*
CAMSAP3	0.345969	0.548704	0.345969	*
C18orf8	0.34558	0.363325	0.34558	*
PKLR	0.345328	0.363325	0.345328	*
GALNT13	0.345124	0.602005	0.345124	*
CPA1	0.344467	0.526108	0.344467	*
COL4A5	0.344435	0.421306	0.344435	*
PCDHAC2	0.344408	0.476258	0.344408	*
RYR2	0.343817	0.799383	0.343817	*
CLRN1	0.343697	0.450757	0.343697	*
SCUBE2	0.343324	0.358241	0.343324	*
TMEM151A	0.342865	0.481321	0.342865	*
XKRX	0.342757	0.481321	0.342757	*
SVEP1	0.342555	0.733714	0.342555	*
KIAA1549L	0.342141	0.401334	0.342141	*
SEMA4D	0.570866	0.342068	0.342068	-
RPGRIP1	0.94353	0.342068	0.342068	-
MTA1	0.364625	0.342068	0.342068	-
LAMB2	0.433439	0.342068	0.342068	-
ESR1	0.342008	0.635943	0.342008	*
ERCC6L	0.341909	0.421306	0.341909	*
BIRC6	0.341893	0.509706	0.341893	*
ATP2A1	0.341835	0.441123	0.341835	*
DMKN	0.341366	0.384057	0.341366	*
LARP1	0.34128	0.384057	0.34128	*
TP73	0.340141	0.476258	0.340141	*
PCDH20	0.339981	0.358241	0.339981	*
NEDD4	0.339928	0.529371	0.339928	*
DENND1B	0.339824	0.421306	0.339824	*
PABPC3	0.339642	0.481321	0.339642	*
ABI3	0.339403	0.363325	0.339403	*
IRX1	0.339185	0.731113	0.339185	*
S100A7A	0.339101	0.363325	0.339101	*
ZNF518B	0.365807	0.339092	0.339092	-
TMCO3	0.404667	0.339092	0.339092	-
TMC3	0.435382	0.339092	0.339092	-
SYNPO2L	0.340819	0.339092	0.339092	-
SPATA18	0.47897	0.339092	0.339092	-
SLK	0.362428	0.339092	0.339092	-
SLITRK4	0.787251	0.339092	0.339092	-
ROR1	0.521494	0.339092	0.339092	-
RCBTB2	0.598922	0.339092	0.339092	-
MMP2	0.401549	0.339092	0.339092	-
KIAA0825	0.551971	0.339092	0.339092	-
GUCY2F	0.433225	0.339092	0.339092	-
GRIK2	0.551559	0.339092	0.339092	-
GPI	0.792413	0.339092	0.339092	-
FAM65B	0.510381	0.339092	0.339092	-
ERN1	0.395987	0.339092	0.339092	-
DNMT3B	0.368626	0.339092	0.339092	-
DDR2	0.589438	0.339092	0.339092	-
CAPRIN2	0.51752	0.339092	0.339092	-
ARID3B	0.497149	0.339092	0.339092	-
APBB1IP	0.728397	0.339092	0.339092	-
AGPAT5	0.660603	0.339092	0.339092	-
ETV4	0.338688	0.363325	0.338688	*
HOMEZ	1.83368	0.338458	0.338458	-
CEACAM7	0.337657	0.363325	0.337657	*
TRIP12	0.337644	0.429575	0.337644	*
SCUBE3	0.337632	0.339092	0.337632	*
RHOQ	0.337366	0.450757	0.337366	*
PPHLN1	0.337183	0.363325	0.337183	*
MYO5B	0.33686	0.581324	0.33686	*
KLHDC7A	0.336735	0.358241	0.336735	*
POU4F2	0.336656	0.476258	0.336656	*
WNT3A	0.335358	0.481321	0.335358	*
CHRNB2	0.33495	0.476258	0.33495	*
CR2	0.334869	0.441123	0.334869	*
MAN2B1	0.333943	0.363679	0.333943	*
SPEN	0.521477	0.333533	0.333533	-
TNKS1BP1	0.46351	0.333412	0.333412	-
PLEKHG2	0.488042	0.333412	0.333412	-
CDC42BPB	0.596515	0.333412	0.333412	-
BCORL1	0.674801	0.333412	0.333412	-
LMX1B	0.333336	0.384057	0.333336	*
NLGN4X	0.333294	0.731113	0.333294	*
CAMK2A	0.333242	0.384057	0.333242	*
TFAP2D	0.332816	0.602005	0.332816	*
CSMD3	0.33247	0.471943	0.33247	*
CHD5	0.332217	0.625571	0.332217	*
HSP90B1	0.331275	0.602005	0.331275	*
CD163	0.331154	0.339092	0.331154	*
TNIK	0.330648	0.358241	0.330648	*
TRPS1	0.33058	1.1289	0.33058	*
LDHD	0.330356	0.339092	0.330356	*
C15orf39	0.330241	0.39414	0.330241	*
NUB1	0.329647	0.358241	0.329647	*
XKR4	0.329348	0.602005	0.329348	*
MAGI2	0.329112	0.8208	0.329112	*
PTK2B	0.329032	0.41477	0.329032	*
NPHP3	0.329008	0.441123	0.329008	*
CTNNA2	0.328525	0.861151	0.328525	*
NFATC1	0.328472	0.333412	0.328472	*
ZNF532	0.328285	0.342068	0.328285	*
RBM23	0.328124	0.602005	0.328124	*
MS4A12	0.326651	0.450757	0.326651	*
KDM4B	0.326455	0.480912	0.326455	*
GNAL	0.326089	0.358241	0.326089	*
VPS13A	0.389603	0.325815	0.325815	-
COL22A1	0.325555	0.551385	0.325555	*
VEZT	0.324953	0.421306	0.324953	*
RRNAD1	0.32475	0.450757	0.32475	*
ITIH2	0.324357	0.548704	0.324357	*
WFIKKN2	0.409683	0.324219	0.324219	-
WDFY1	0.784588	0.324219	0.324219	-
TTC37	0.485304	0.324219	0.324219	-
TSPYL6	0.84098	0.324219	0.324219	-
TMCO4	0.661762	0.324219	0.324219	-
TCF4	0.485513	0.324219	0.324219	-
STOX2	0.331657	0.324219	0.324219	-
SLC36A2	0.366768	0.324219	0.324219	-
PIK3R4	0.603001	0.324219	0.324219	-
PAPD7	0.563327	0.324219	0.324219	-
NRP2	0.500848	0.324219	0.324219	-
MAGEC3	0.903593	0.324219	0.324219	-
KLHL1	0.655653	0.324219	0.324219	-
KCNH8	0.428866	0.324219	0.324219	-
FLCN	0.72626	0.324219	0.324219	-
FCRL5	0.48859	0.324219	0.324219	-
EYA4	1.0125	0.324219	0.324219	-
COPG1	0.447625	0.324219	0.324219	-
CHST12	0.559348	0.324219	0.324219	-
AP1B1	0.402861	0.324219	0.324219	-
MIER1	0.324072	0.602005	0.324072	*
PPP1R32	0.323944	0.363325	0.323944	*
CORO2B	0.32384	0.363325	0.32384	*
GPR141	0.322904	0.450757	0.322904	*
WASL	0.369744	0.322588	0.322588	-
UBE3A	0.456677	0.322588	0.322588	-
TYMS	0.470454	0.322588	0.322588	-
TM9SF1	0.475582	0.322588	0.322588	-
SCG2	0.474199	0.322588	0.322588	-
RUNX2	0.328427	0.322588	0.322588	-
RANBP10	0.471088	0.322588	0.322588	-
PRR23A	0.443871	0.322588	0.322588	-
PFKFB2	0.431717	0.322588	0.322588	-
PANX3	0.504001	0.322588	0.322588	-
OR2Z1	0.477269	0.322588	0.322588	-
OR10S1	0.577348	0.322588	0.322588	-
OR10H5	0.340115	0.322588	0.322588	-
NR2E1	0.429854	0.322588	0.322588	-
MAB21L1	0.447098	0.322588	0.322588	-
LRP10	0.413743	0.322588	0.322588	-
LCAT	0.47731	0.322588	0.322588	-
KRCC1	0.528052	0.322588	0.322588	-
KLK4	0.406141	0.322588	0.322588	-
IMPDH2	0.330206	0.322588	0.322588	-
HYKK	0.578292	0.322588	0.322588	-
GPR65	0.499982	0.322588	0.322588	-
GNB2L1	0.461836	0.322588	0.322588	-
FSHR	0.358089	0.322588	0.322588	-
FOXI1	0.392821	0.322588	0.322588	-
ESRRG	0.394351	0.322588	0.322588	-
DEK	0.532304	0.322588	0.322588	-
CAMK4	0.364062	0.322588	0.322588	-
ATP2B1	0.386396	0.322588	0.322588	-
ASB4	0.565022	0.322588	0.322588	-
ADPRHL2	0.393555	0.322588	0.322588	-
ACTC1	0.479247	0.322588	0.322588	-
ZNF749	0.321425	0.322588	0.321425	*
FLVCR2	0.321227	0.363325	0.321227	*
MMP25	0.320823	0.322588	0.320823	*
PCDHA2	0.320561	0.861151	0.320561	*
KLF5	0.320555	0.450757	0.320555	*
SPRY4	0.319977	0.363325	0.319977	*
CDH2	0.319583	0.529371	0.319583	*
MUC2	1.46888	0.319388	0.319388	-
CHST13	0.319073	0.363325	0.319073	*
KCNMB3	0.31882	0.450757	0.31882	*
KLHDC8A	0.317884	0.481321	0.317884	*
POM121L2	0.317799	0.604263	0.317799	*
PZP	0.317631	0.358241	0.317631	*
FKBP9	0.317361	0.421306	0.317361	*
TRIM39	0.373926	0.317174	0.317174	-
SCN3A	0.316941	0.414385	0.316941	*
CLASP1	0.316843	0.377473	0.316843	*
PCDH17	0.316732	1.11253	0.316732	*
LRRIQ1	0.316584	0.476258	0.316584	*
RGS19	0.316015	0.384057	0.316015	*
HSD17B1	0.315846	0.450757	0.315846	*
FSTL5	0.315659	0.421306	0.315659	*
PCDHA4	0.315599	0.581324	0.315599	*
BSN	0.315313	0.328994	0.315313	*
BUB1B	0.315211	0.421306	0.315211	*
MUM1L1	0.314705	0.450757	0.314705	*
FBXW4	0.314136	0.322588	0.314136	*
SLC38A11	0.314071	0.363325	0.314071	*
